crop_type,location_zone,soil_moisture,precipitation,avg_temperature,Image Path,credit_score,index_of_image,Yield_1,Yield_2,Yield_3,Loan_ID,Cultivation_2022,Production_2022,Cultivation_2023,Cultivation_2024,Production_2024,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Cotton,South,47.71,353.21,16.31,permanent_crop/PermanentCrop_1.jpg,744,0,2.759323584,2.186530352,1.668593472,Loan_1,275,566.5920326,160,460,811.1338548,Female,Yes,1,Graduate,No,2763,3141,396,12,0,Semiurban,Rejected
Maize,South,67.15,260.88,34.49,permanent_crop/PermanentCrop_10.jpg,666,1,2.6620464,3.531314725,3.942963912,Loan_2,132,841.6019146,267,399,535.681244,Female,Yes,1,Not Graduate,No,4429,8532,173,60,1,Urban,Approved
Barley,West,37.87,398.76,32.08,permanent_crop/PermanentCrop_100.jpg,738,2,3.304912063,4.274971712,3.826348381,Loan_3,487,883.7663665,137,122,793.2718892,Female,Yes,0,Not Graduate,Yes,6046,6520,318,12,0,Urban,Rejected
Barley,South,69.11,353.41,17.63,permanent_crop/PermanentCrop_1000.jpg,791,3,3.0258284,4.503188477,4.417845667,Loan_4,151,908.9074507,342,150,676.5754254,Female,Yes,1,Graduate,No,7677,6199,368,120,0,Urban,Rejected
Rice,South,55.33,469.6,25.79,permanent_crop/PermanentCrop_1001.jpg,758,4,3.406784976,1.552776989,3.836771088,Loan_5,317,534.8132134,148,350,975.8205193,Female,No,3+,Graduate,Yes,3606,6509,269,240,0,Rural,Rejected
Cotton,North,66.34,448.67,27.7,permanent_crop/PermanentCrop_101.jpg,747,5,2.262867699,3.84463302,3.5083149,Loan_6,487,794.1451067,193,173,588.1433355,Female,Yes,2,Graduate,No,12232,8030,165,12,0,Rural,Rejected
Rice,West,71.53,496.56,26.07,permanent_crop/PermanentCrop_102.jpg,707,6,3.671269184,2.25306107,3.425465599,Loan_7,449,769.6854817,274,386,649.7303195,Female,Yes,1,Not Graduate,No,4800,2639,295,60,0,Urban,Approved
Rice,East,43.64,356.33,32.53,permanent_crop/PermanentCrop_103.jpg,834,7,2.625073371,1.366588898,2.632978814,Loan_8,372,649.1039798,361,195,542.8712676,Female,No,2,Not Graduate,No,13060,6120,334,60,0,Urban,Approved
Wheat,North,29.48,204.46,26.87,permanent_crop/PermanentCrop_104.jpg,719,8,1.149969074,2.808279438,4.176445652,Loan_9,454,567.0507262,316,224,569.7300838,Male,No,1,Not Graduate,Yes,8803,9109,414,12,1,Semiurban,Rejected
Cotton,North,64.76,380.16,17.44,permanent_crop/PermanentCrop_105.jpg,746,9,1.591528955,2.139030975,4.871921278,Loan_10,210,900.4419911,379,421,839.1138259,Female,No,2,Graduate,Yes,14953,2358,370,120,1,Semiurban,Rejected
Barley,East,28.98,347.29,16.73,permanent_crop/PermanentCrop_106.jpg,748,10,2.926015045,2.273543014,1.521206048,Loan_11,313,939.1399151,263,391,522.440937,Male,Yes,0,Graduate,No,12430,9872,479,120,0,Rural,Rejected
Barley,West,21.91,380.55,33.91,permanent_crop/PermanentCrop_107.jpg,732,11,1.524929218,4.24066832,2.489044776,Loan_12,442,990.1297835,391,232,791.3217499,Male,Yes,0,Not Graduate,No,3395,458,477,12,0,Urban,Approved
Wheat,South,63.47,339.98,21.06,permanent_crop/PermanentCrop_108.jpg,808,12,1.255078656,1.432819088,3.812050701,Loan_13,255,526.417386,454,401,531.4292465,Male,No,1,Graduate,No,7720,5167,85,240,0,Semiurban,Rejected
Cotton,South,51.06,172.32,28.94,permanent_crop/PermanentCrop_109.jpg,809,13,2.384386174,3.856911844,3.302897375,Loan_14,231,653.2986191,462,263,574.5385892,Female,Yes,3+,Not Graduate,No,12929,4112,172,36,1,Urban,Approved
Rice,West,70.21,214.65,26.71,permanent_crop/PermanentCrop_11.jpg,757,14,2.26983211,1.679606026,4.468262009,Loan_15,256,786.9091649,198,494,907.0897155,Male,No,0,Not Graduate,No,4351,5831,267,240,1,Urban,Rejected
Cotton,South,37.84,135.74,31.61,permanent_crop/PermanentCrop_110.jpg,832,15,2.235888168,2.291345365,4.486059124,Loan_16,216,662.7791617,467,364,682.1168811,Female,No,0,Not Graduate,Yes,2037,8574,246,120,0,Rural,Approved
Barley,West,25.29,115.7,21.35,permanent_crop/PermanentCrop_111.jpg,692,16,3.232284946,4.5082407,3.976907071,Loan_17,281,604.5779552,189,415,547.3043219,Female,Yes,3+,Not Graduate,Yes,14951,826,89,36,1,Rural,Approved
